,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
287,24404990800,9.4,7,2.34,9.89,183,55,12.9,7,20,3.06,100
288,24404990700,12.3,8,1.42,12.9,199,73,10.2,6,14,13.22,100
289,24404040700,26.75,9,2.27,19.67,355,100,19.6,10,22,34.49,100
290,24404040800,33.71,11,1.93,21.83,391,115,16.1,10,20,0.94,100
291,24404020008,29.64,20,1.13,21.67,982,355,14.1,15,40,2.38,100
292,24404020009,0,28,0.87,1.53,843,325,14.3,11,30,0.13,100
293,24404980900,0,5,0.82,9.78,135,135,0,,38,0,0
294,24412840500,0,1,0.05,11.38,60,3,0.2,2,6,18.18,100
295,24412840100,8.29,13,1.28,9.12,1248,279,-6.6,13,35,18.25,100
296,24412840200,7.77,1,0.08,6.65,111,6,0.4,3,8,26.21,100
297,24412840400,33.33,1,4.24,20.57,45,2,23.5,2,6,0,0
298,24412250600,0,1,0.15,4.29,50,3,0.9,2,9,0,0
299,24412250100,14.15,9,1.96,11.01,279,74,20.6,7,22,3.76,100
300,24412250400,7.41,2,0.09,15.06,21,4,0.3,2,10,0,0
301,24412230100,8.19,10,1.49,8.18,544,122,18,12,38,24.06,100
302,24412230300,30,0,0.04,19.34,47,2,0.7,2,14,0,0
303,24412260100,4.91,14,2.16,6.57,326,156,22.7,9,16,13.53,100
304,24412260400,10.34,1,0.73,9.33,11,4,0.2,3,8,51.72,100
305,24412260300,0,1,0.47,0.93,36,4,1.4,2,6,77.97,100
306,24412240100,10.56,12,1.36,10.77,502,169,-27.2,12,26,96.54,100
307,24412020100,6.37,10,1.51,7.33,2098,487,-8.7,40,85,22.57,100
308,24412020009,4.56,14,2.26,5.5,559,118,25.9,12,19,24.33,100
309,24412020008,5.14,24,0.82,5.5,692,191,14.8,8,14,0.16,100
310,24412040001,12.06,16,0.65,10.76,453,155,2.6,8,34,33.29,100
311,24412830100,12.69,19,1.62,10.76,404,209,-5.8,9,32,14.15,100
312,24412830300,1.01,5,0.49,1.98,160,36,4.3,5,16,2.89,100
313,24412830400,2.03,5,1.06,5.54,125,33,6.9,4,14,0.51,100
314,24412830200,1.07,3,0.69,2.31,144,21,5,5,13,89.04,100
315,24412830500,0.5,10,0.66,5.03,400,55,19.6,4,13,56.83,100
316,24412030003,4.3,11,1.28,6.29,405,100,-11.1,8,31,10.83,99.93
317,24409215100,12.54,9,0.95,12.81,1054,201,13.3,10,32,84.33,100
318,24409242500,10.48,12,1.52,13.09,662,165,-838.5,13,33,91.53,100
319,24409035300,12.7,1,0.13,29.43,30,5,0.2,2,3,60.32,100
320,24409035500,7.59,8,0.94,9.28,183,35,8.7,4,12,88.98,99.95
321,24409235100,20.63,11,0.98,18.22,995,202,35,9,26,90.31,100
322,24409021500,24.51,15,1.65,20.2,1278,382,22.9,17,38,10.48,99.98
323,24409021600,4.12,10,0.95,5.53,326,58,19.6,4,6,88.47,99.98
324,24409225100,18.91,14,0.95,16.42,829,209,12.2,12,19,1.79,100
325,24417020600,15.74,17,1.23,14.59,739,243,27.5,12,20,53.81,99.99
326,24417020200,8.3,12,0.91,6.65,497,152,14.4,7,21,16.58,100
327,24417230100,55.52,8,1.52,26.04,288,53,-28,5,16,50.09,100
328,24417810100,15.18,10,1.12,12.49,575,118,11.5,8,24,1.37,100
329,24417210100,20.05,12,1.08,18.15,390,70,15.8,6,15,57.54,100
330,24402250300,7.65,4,0.45,8.85,358,26,10.2,4,9,2.02,100
331,24402320200,8.31,7,0.67,8.79,540,74,6.8,9,24,32.61,100
332,24402320300,8.41,1,0.87,13.65,27,8,1.3,2,8,73.83,100
333,24402240200,13.56,8,1.29,10.8,460,82,-236.1,9,16,24.8,100
334,24402230200,15.07,2,0.46,17.76,169,21,2.1,5,13,88.62,100
335,24402220200,1.85,5,0.9,3.56,438,79,-15.1,6,18,39.92,99.97
336,24402330200,17.14,9,1.06,11.9,304,59,9.5,6,16,11.95,100
337,24402210200,12.76,13,1.28,11.17,370,99,20.1,8,30,37.59,100
338,24402030800,12.22,18,1.28,11.94,492,192,12.2,11,16,6.97,100
339,24402030700,18.19,8,1.39,17.08,186,56,11.8,5,11,76.02,100
340,24402040600,16.39,1,0.65,20.14,52,5,3.5,2,6,29.78,100
341,24402040900,15.25,17,1.01,12.88,955,255,38.3,13,32,57.64,99.98
342,24402290200,25.5,10,1.01,44.53,279,84,111.8,4,13,15.68,100
343,24406060700,12.24,14,2.2,13.65,808,190,44.6,11,40,28.69,99.81
344,24406060400,12.74,7,2.07,14.24,439,92,45.4,5,26,4.68,100
345,24406060800,1.57,12,2.02,6.42,463,139,44.9,8,23,1.91,99.7
346,24406060500,2.57,14,2.5,6.61,532,163,47.7,9,24,56.63,99.84
347,24406061100,2.07,12,1.08,8.46,429,81,17.4,5,14,21.96,99.86
348,24406063000,0,0,0.91,0,32,6,1.2,2,7,7.73,98
349,24406060200,10.18,16,2,14.99,1301,388,29.4,17,52,7.32,99.8
350,24406060200,32.14,4,1.77,24.86,334,49,16.9,6,18,0,0
351,24406060100,23.32,13,2.43,19.01,1120,281,46,16,41,6.1,99.95
352,24406061000,4.83,8,2.77,7.24,297,79,37,5,17,37.97,99.76
353,24406060600,10.85,11,2.74,11.96,348,98,50.3,6,29,7.78,100
354,24406060900,16.36,20,0.67,16.32,1170,175,41.2,8,27,2.93,99.68
